srcStateName,srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres,Functional Health and Wellness Centres-Sub Centres,Functional Health and Wellness Centres-Primary Health Centres,Functional Sub Divisional Hospitals,Functional District Hospitals,srcYear,YearCode,Year,Country,StateCode,StateName,DistrictCode
Andhra Pradesh,Kurnool,518,3,18,24,110,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,1
Arunachal Pradesh,Tawang,0,0,2,12,6,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,2
Arunachal Pradesh,West Kameng,22,5,5,0,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,3
Arunachal Pradesh,Upper Siang,10,1,4,3,1,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,4
Arunachal Pradesh,Lower Subansiri,23,8,2,,,,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,5
Arunachal Pradesh,Kra daadi,9,7,1,0,0,0,0,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,7
Arunachal Pradesh,Upper Subansiri,32,15,5,0,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,8
Arunachal Pradesh,West Siang,14,8,3,0,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,10
Arunachal Pradesh,Lower Dibang valley,14,3,4,,,,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,11
Arunachal Pradesh,Anjaw,9,7,5,0,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,12
Arunachal Pradesh,Changlang,35,7,5,0,0,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,1,JAMMU AND KASHMIR,13
