srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres
0,18.0,2.0,1.0
Adilabad,124.0,16.0,3.0
Agar Malwa,293.0,55.0,21.0
Agra,333.0,45.0,13.0
Ahmedabad,219.0,46.0,10.0
Ahmednagar,514.0,143.0,34.0
Aizawl East District,287.0,16.0,12.0
Aizawl West District,210.0,18.0,4.0
Ajmer,370.0,72.0,22.0
Akola,288.0,59.0,9.0
Alappuzha,245.0,3.0,10.0
Aligarh,539.0,58.0,19.0
Alipurduar,180.0,4.0,6.0
Alirajpur,245.0,16.0,13.0
Allahabad (Prayagpur),272.0,15.0,10.0
Almora,206.0,25.0,8.0
Alwar,676.0,123.0,37.0
Ambala,94.0,0.0,4.0
Ambedkar Nagar,148.0,17.0,7.0
Amravati,378.0,69.0,8.0
Amreli,339.0,31.0,10.0
Amritsar,140.0,22.0,6.0
Anand,230.0,28.0,8.0
Ananthapur,430.0,72.0,8.0
Anantnag,149.0,19.0,5.0
Anjaw,6.0,3.0,3.0
Anugul,166.0,16.0,12.0
Anuppur,163.0,20.0,6.0
Araria,254.0,55.0,6.0
Ariyalur,171.0,0.0,2.0
Arvalli,272.0,40.0,13.0
Arwal,48.0,7.0,1.0
Ashok Nagar,317.0,58.0,10.0
Auraiya,477.0,56.0,19.0
Aurangabad,557.0,100.0,18.0
Azamgarh,200.0,6.0,7.0
Bagalkote,356.0,110.0,7.0
Bageshwar,84.0,13.0,3.0
Bagpat,287.0,37.0,10.0
Bahraich,367.0,71.0,9.0
Baksa,559.8792986,62.066252129999995,22.252013203
Balaghat,274.0,34.0,8.0
Balasore,237.0,13.0,17.0
Ballia,194.0,7.0,9.0
Balod,119.0,25.0,3.0
Balodabazar,181.0,24.0,7.0
Balrampur,392.0,71.0,10.0
Banaskantha,286.0,27.0,12.0
Banda,338.0,25.0,17.0
Bandipora,79.0,13.0,3.0
Bangalore (R),336.0,62.0,6.0
Bangalore (U),572.0,147.0,4.0
Banka,288.0,27.0,2.0
Bankura,87.0,8.0,5.0
Banswara,450.0,56.0,21.0
Barabanki,397.0,52.0,6.0
Baramulla,212.0,32.0,6.0
Baran,259.0,30.0,14.0
Bareilly,267.0,32.0,11.0
Bargarh,235.0,7.0,11.0
Barmer,720.0,89.0,23.0
Barnala,57.0,3.0,4.0
Barpeta,120.0,19.0,6.0
Barwani,180.0,40.0,7.0
Bastar,111.0,27.0,3.0
Basti,331.0,48.0,7.0
Bathinda,111.0,6.0,9.0
Beed,394.0,44.0,15.0
Begusarai,354.0,49.0,4.0
Belgaum,344.0,83.0,3.0
Bellary,203.0,60.0,2.0
Bemetara,178.0,24.0,6.0
Betul,237.0,24.0,7.0
Bhadradri Kothagudem,0.0,0.0,0.0
Bhadrak,166.0,2.0,11.0
Bhagalpur,298.0,31.0,4.0
Bhandara,203.0,21.0,7.0
Bharatpur,394.0,64.0,17.0
Bharuch,209.0,19.0,8.0
Bhavnagar,204.0,21.0,10.0
Bhilwara,533.0,77.0,25.0
Bhind,136.0,23.0,7.0
Bhiwani,139.0,26.0,6.0
Bhojpur,160.0,29.0,1.0
Bhopal,103.0,18.0,3.0
Bidar,249.0,63.0,5.0
Bijapur,279.0,53.0,10.0
Bijnor,291.0,40.0,8.0
Bikaner,414.0,45.0,16.0
Bilaspur,616.0,91.0,20.0
Birbhum,134.0,20.0,7.0
Bishnupur,51.0,12.0,2.0
Bokaro,52.0,5.0,4.0
Bolangir,90.0,5.0,5.0
Bongaigaon,559.05283966,60.03064432,15.845826234
Botad,215.0,39.0,6.0
Boudh,89.0,1.0,5.0
Budaun,344.0,41.0,10.0
Budgam,152.0,49.0,9.0
Bulandshahar,232.0,21.0,4.0
Buldhana,431.0,93.0,16.0
Bundi,207.0,27.0,12.0
Burhanpur,155.0,14.0,6.0
Buxar,398.0,79.0,8.0
C S M Nagar (Amethi),214.0,27.0,9.0
Cachar,249.3374573,54.21049278,12.82273714
Central,14.0,69.0,0.0
Ch-Dadri,75.0,12.0,3.0
Chamarajanagar,114.0,0.0,3.0
Chamba,177.0,45.0,5.0
Chamoli,110.0,16.0,6.0
Champawat,68.0,8.0,1.0
Champhai District,298.52004206000004,38.038863752,7.821714887
Chandauli,111.0,14.0,6.0
Chandel,52.0,11.0,3.0
Chandigarh,4.0,36.0,2.0
Chandrapur,190.0,113.0,15.0
Changlang,10.0,1.0,1.0
Chatra,164.0,11.0,9.0
Chennai,395.0,59.0,18.0
Chhatarpur,187.0,19.0,7.0
Chhindwada,215.0,24.0,5.0
Chhota Udepur,0.0,120.0,0.0
Chikkaballapura,204.0,5.0,8.0
Chikmagalur,105.0,0.0,2.0
Chirang,597.3161998,78.48565479999999,22.149432247
Chitradurga,14.0,4.0,3.0
Chitrakoot,320.0,66.0,16.0
Chittorgarh,381.0,54.0,21.0
Churchandpur,34.0,8.0,1.0
Churu,425.0,80.0,16.0
Coimbatore,414.7296706,15.80028523,13.85021392
Cuddalore,209.0,3.0,11.0
Cuttack,386.0,31.0,21.0
Dahod,165.0,21.0,4.0
Dakshin Dinajpur,108.0,10.0,6.0
Dakshina Kannada,366.0,49.0,16.0
Daman,0.0,0.0,0.0
Damoh,197.0,28.0,6.0
Dang,182.0,14.0,6.0
Dantewada,179.0,25.0,6.0
Darbhanga,260.0,52.0,9.0
Darjiling,234.0,0.0,9.0
Darrang,875.0957076,58.132592020000004,29.941506984
Datia,316.0,37.0,9.0
Dausa,313.0,48.0,15.0
Davanagere,410.0,75.0,23.0
Debagarh,228.0,36.0,8.0
Dehradun,157.0,21.0,7.0
Deoghar,222.0,18.0,15.0
Deoria,186.0,24.0,4.0
Devbhumi Dwarka,592.0,110.0,23.0
Dewas,266.0,32.0,11.0
Dhalai,147.0,12.0,3.0
Dhamtari,113.0,17.0,4.0
Dhanbad,275.0,33.0,17.0
Dhar,309.0,45.0,9.0
Dharmapuri,103.0,8.0,6.0
Dharwad,308.0,33.0,13.0
Dhemaji,190.56209957,48.988112255,5.298463978999999
Dhenkanal,214.5880509,46.39741641,6.628202344
Dholpur,227.0,36.0,7.0
Dhubri,698.80261319,86.44847714,29.524306701
Dhule,139.0,4.0,8.0
Dibang Valley,19.46392172,4.23128733,2.538772398
Dibrugarh,104.0,30.0,5.0
Dima Hasao,674.3416125,35.55024401,27.433743393
Dimapur,50.0,15.0,2.0
Dindigul,315.7287719,11.9897002,12.98884188
Dindori,163.0,18.0,8.0
Diu,0.0,0.0,0.0
Doda,151.0,26.0,3.0
Dumka,202.0,19.0,15.0
Dungarpur,349.0,53.0,15.0
Durg,44.4119491,9.602583589,1.371797656
E-Champaran,234.0,103.0,2.0
East,34.0,39.0,0.0
East Garo Hills,46.0,15.0,2.0
East Godavari,190.0,39.0,2.0
East Jainta Hills,132.735614,27.88084536,6.732388252
East Kameng,10.239173346,5.704715228,3.654928896
East Khasi Hills,52.0,9.0,1.0
East Siang,16.0,3.0,2.0
Ernakulam,454.0,49.0,13.0
Erode,447.15411059999997,15.94670596,15.148523361999999
Etah,165.0,14.0,8.0
Etawah,255.0,33.0,5.0
F.G.Sahib,61.0,0.0,5.0
Faizabad (Ayodhya),165.0,13.0,8.0
Faridabad,93.0,2.0,8.0
Faridkot,54.0,3.0,4.0
Farrukhabad,302.0,35.0,7.0
